TAC,Manufacturer,Model,HW-Type,OS,Year
01000001,Research in Motion Ltd,Blackberry  7520,,,
01001000,Motorola,MicroTAC,,,
01001400,Motorola,Select,,,
01001500,Motorola,StarTAC,,,
01001600,Motorola,Select,,,
01001700,Motorola,StarTAC,,,
01002100,Ericsson,Sweden,,,
01002400,Nokia,9000i,,,
01002500,Motorola,StarTAC,,,
01002800,Nokia,6190,,,
01003700,Nokia,5190,,,
01004400,Sagem,P21,,,
01004600,Motorola,V3682,,,
01004900,Nokia,5190,,,
01005400,Nokia,5190,,,
01006300,Nokia,5190,,,
01007000,Nokia,8290,,,
01007200,Nokia,3390b,,,
01008100,Nokia,3390b,,,
01008700,Samsung,SGH-Q105,,,
01009000,Nokia,3390b,,,
01009300,Nokia,8390,,,
01009600,Samsung,SGH-R225,,,
01009700,Samsung,SGH-N625,,,
01010500,Samsung,SGH-R225,,,
01010600,Hiptop,HT1,,,
01011800,Nokia,3590,,,
01011900,Nokia,3590,,,
01012100,Motorola,C331,,,
01012200,Nokia,3390b,,,
01012300,Nokia,3395,,,
01012400,Sony,Ericsson,,,
01012500,Samsung,SGH-R225,,,
01012700,Siemens,AG,,,
01012800,Nokia,8390,,,
01013000,Motorola,T720,,,
01013200,Samsung,SGH-R225,,,
01013300,Samsung,SGH-S105,,,
01013600,Nokia,6590i,,,
01013700,Nokia,6590i,,,
01014400,Nokia,6340i,,,
01014700,Nec,(UK),,,
01014800,SonyEricsson,GM28,,,
01015200,Samsung,SGH-V205,,,
01015289,Samsung,SGH-V205,,,
01015700,Sony,Ericsson,,,
01015800,Sony,Ericsson,,,
01016000,Amio,Amio,,,
01016100,Nokia,Nokia,,,
01016300,Motorola,Motorola,,,
01016400,Sony,Ericsson,,,
01016600,Nokia,3595,,,
01016900,Motorola,Motorola,,,
01017000,Motorola,Motorola,,,
01017100,Nokia,3391,,,
01017200,Samsung,SGH-E400,,,
01017300,Sony,Ericsson,,,
01017400,Nokia,6800b,,,
01017500,Nokia,6800b,,,
01017900,Samsung,SGH-X427,,,
01018500,Nokia,3595,,,
01018600,Nokia,3595,,,
01018700,Nokia,3600,,,
01018800,Motorola,C333,,,
01019000,Sharp,PV-100,,,
01019100,hiptop,hiptop,,,
01019200,Samsung,SGH-R225M,,,
01019300,RIM,RIM,,,
01019400,Research in Motion Ltd,Blackberry  7230  6230GE ,,,
01019500,LG,Electronics,,,
01019600,Samsung,SGH-S300M,,,
01019700,Sony,Ericsson,,,
01019900,Nokia,3300b,,,
01020000,Nokia,6340i,,,
01020100,Siemens,AG,,,
01020200,Samsung,SGH-R225M,,,
01020300,Motorola,C350,,,
01020400,RIM,7210,,,
01020500,Motorola,C350,,,
01020600,Nokia,3595,,,
01020800,LG,4011,,,
01020900,Sony,Ericsson,,,
01021000,Nokia,3390b,,,
01021200,Nokia,3220b,,,
01021300,Siemens,A56,,,
01021400,Motorola,C350,,,
01021500,PalmOne,Treo,,,
01021600,Sony,Ericsson,,,
01021700,Motorola,T720,,,
01021800,Samsung,SGH-X105,,,
01022000,LG,Electronics,,,
01022100,Nokia,6340i,,,
01022200,LG,Electronics,,,
01022300,LG,Electronics,,,
01022500,Alcatel,331p,,,
01022600,Research in Motion Ltd,Blackberry  6280,,,
01022700,Research in Motion Ltd,Blackberry  7280,,,
01022800,Danger,Danger,,,
01022900,Siemens,M56,,,
01023400,Nokia,6341i,,,
01023500,Nokia,6340i,,,
01023700,Research in Motion Ltd,Blackberry  7730  R6030GE ,,,
01023800,Research in Motion Ltd,Blackberry  7780,,,
01023900,Samsung,SGH-S300M,,,
01024000,Sagem,X-2a,,,
01024300,Wavecom,Multitech,,,
01024400,Nec,N525,,,
01024600,Wavecom,Q2426B,,,
01024900,Sony,Ericsson,,,
01025000,Siemens,A56,,,
01025100,Samsung,SGH-X426,,,
01025200,Samsung,SGH-X426,,,
01025300,Nokia,3595,,,
01025600,Sony,Ericsson,,,
01025700,Sony,Ericsson,,,
01025841,LG,Electronics,,,
01025900,Nokia,3595,,,
01026000,Nokia,3595,,,
01026200,Nokia,3595,,,
01026300,Nokia,3595,,,
01026500,Samsung,SGH-R225,,,
01027100,Nokia,3390b,,,
01027200,Motorola,C200,,,
01027300,Sony,Ericsson,,,
01027400,Nokia,1100b,,,
01027600,Sony,Ericsson,,,
01027700,Motorola,C370,,,
01027800,Motorola,E380,,,
01027900,Sagem,MyX-2,,,
01028000,Motorola,C350,,,
01028100,Alcatel,One,,,
01028200,Nokia,6800b,,,
01028300,Nokia,3595,,,
01028600,Samsung,SGH-R225M,,,
01028900,LG,Electronics,,,
01029000,Sony,Ericsson,,,
01029100,RIM,7280,,,
01029200,RIM,6280,,,
01029400,Nixxo,NGX,,,
01029500,Samsung,SGH-P107,,,
01029700,Siemens,A56i,,,
01029800,Sharp,PV-100,,,
01030000,Motorola,C200,,,
01030200,Siemens,A56,,,
01030300,Siemens,C61,,,
01030500,LG,Electronics,,,
01030600,Samsung,SGH-D415,,,
01030700,Trimble,E11,,,
01030800,Nec,A232A,,,
01031000,Motorola,92575XZBSA,,,
01031100,Alcatel,332,,,
01031200,LG,G4010,,,
01031300,Sony,Ericsson,,,
01031800,Sierra,Wireless,,,
01031900,Nokia,1100b,,,
01032000,Nokia,1100b,,,
01032200,Nokia,3595,,,
01032300,Nokia,3595,,,
01032400,Nokia,3595,,,
01032500,Nokia,3595,,,
01032600,Motorola,V172,,,
01032700,Nokia,3595,,,
01033000,Samsung,SGH-X426,,,
01033100,Samsung,SGH-X426,,,
01033200,Sierra,Wireless,,,
01033300,Sony,Ericsson,,,
01033500,Nokia,6010,,,
01033600,Nokia,6010,,,
01033800,Samsung,SGH-E316,,,
01033900,Nokia,N-GAGE,,,
01034000,Samsung,SGH-X427,,,
01034100,Samsung,SGH-R225M,,,
01034300,Samsung,SGH-E600,,,
01034400,Samsung,SGH-E600,,,
01034500,LG,Electronics,,,
01034600,LG,Electronics,,,
01034700,Innostream,Innostream,,,
01034800,Siemens,A56,,,
01034900,Siemens,A56,,,
01035400,Samsung,SGH-E105,,,
01035500,Samsung,SGH-E715,,,
01035700,Siemens,A56i,,,
01035800,Samsung,SGH-P735,,,
01036200,Sagem,MyX-4a,,,
01036300,Motorola,C200,,,
01036400,Motorola,C236,,,
01036600,Samsung,SGH-E317,,,
01036700,Nokia,6651,,,
01036900,Adbon,he45,,,
01037100,Sony,Ericsson,,,
01037200,Nokia,1100b,,,
01037300,Nokia,1100b,,,
01037400,Sony,Ericsson,,,
01037500,Nec,535,,,
01037800,LG,Electronics,,,
01037900,LG,Electronics,,,
01038000,Sony,Ericsson,,,
01038100,Samsung,SGH-X426,,,
01038400,Skytec,Skytracker/VR1,,,
01038600,Sony,Ericsson,,,
01039300,Samsung,SGH-E608,,,
01039400,Sony,Ericsson,,,
01039600,Pantech,GB310,,,
01039700,Motorola,C115,,,
01039900,Samsung,SGH-X426m,,,
01040000,Sagem,MyX-1,,,
01040100,Sony,Ericsson,,,
01040200,Siemens,827,,,
01040500,Panasonic,X500U,,,
01040800,Sony,Ericsson,,,
01040900,Sony,Ericsson,,,
01041300,Motorola,C195,,,
01041500,Nokia,6010,,,
01041600,Nokia,6010,,,
01041700,Nokia,6010,,,
01041800,Nokia,6010,,,
01041900,Nokia,6010,,,
01042000,Nokia,6010,,,
01042100,LG,Electronics,,,
01042200,LG,Electronics,,,
01042300,N707,N707,,,
01042500,Motorola,V300,,,
01042600,Alcatel,557a,,,
01042700,Nokia,3595,,,
01043100,Samsung,SGH-E105,,,
01043800,Multi-Tech,MultiModem,,,
01043900,Motorola,C115,,,
01044000,Nokia,1100b,,,
01044100,Nokia,1100b,,,
01044200,Nokia,1100b,,,
01044400,Siemens,SL56,,,
01044500,Sony,Ericsson,,,
01044700,Nokia,1100b,,,
01045000,Panasonic,EB-X100U,,,
01045400,Samsung,SGH-X426,,,
01045600,LG,Electronics,,,
01045700,LG,Electronics,,,
01046000,Samsung,SGH-X427m,,,
01046100,LG,Electronics,,,
01046200,LG,LG1400,,,
01046800,Sony,Ericsson,,,
01046900,Sony,Ericsson,,,
01047000,Motorola,C115,,,
01047300,Benq-Siemens,S66,,,
01047400,Nokia,2600b,,,
01047500,LG,Electronics,,,
01047600,LG,L1400,,,
01047800,Samsung,SGH-C207L,,,
01047900,Samsung,SGH-X427m,,,
01048100,Samsung,SGH-E317,,,
01048200,Motorola,C200,,,
01048300,LG,A7110,,,
01048400,Samsung,SGH-E316,,,
01048500,Samsung,SGH-E316,,,
01048700,Sony,Ericsson,,,
01049200,Firefly,Firefly,,,
01049300,Firefly,Firefly,,,
01049400,Samsung,SGH-E316,,,
01049500,Nokia,6010,,,
01049600,Nokia,6010,,,
01049800,Nokia,1100b,,,
01049900,Nokia,2651,,,
01050000,Nokia,1108b,,,
01050300,Motorola,V171,,,
01050400,Samsung,SGH-E317,,,
01050700,Sony,Ericsson,,,
01050800,Samsung,SGH-S342i,,,
01050900,Sagem,OT,,,
01051000,Nokia,1100b,,,
01051200,Alcatel,One,,,
01051300,Sendo,SND251,,,
01051400,Alcatel,OT,,,
01051500,Alcatel,One,,,
01051600,Sagem,MyX-T,,,
01051800,LG,Electronics,,,
01052000,Nokia,1100b,,,
01052100,Nokia,6670,,,
01052200,Nokia,1100b,,,
01052300,Motorola,C155,,,
01052500,Samsung,SGH-C207L,,,
01052600,Samsung,SGH-X426,,,
01052700,Samsung,SGH-466,,,
01052800,Samsung,SGH-C207,,,
01052900,LG,Electronics,,,
01053000,Enfora,Enfora,,,
01053100,Nokia,Nokia,,,
01053300,Sagem,Sagem,,,
01053900,Sagem,Sagem,,,
01054000,LG,Electronics,,,
01054100,Sony,Ericsson,,,
01054200,Motorola,Motorola,,,
01054400,Nokia,1100b,,,
01054500,Alcatel,Alcatel,,,
01054600,Motorola,Motorola,,,
01054900,Motorola,Motorola,,,
01055200,Samsung,Samsung,,,
01055300,Samsung,Samsung,,,
01055500,Samsung,Samsung,,,
01055800,Nokia,Nokia,,,
01055900,Nokia,6010,,,
01055990,Nokia,1108,,,
01056000,Nokia,6010,,,
01056100,Sendo,Sendo,,,
01056200,Nokia,1100b,,,
01056300,Motorola,Motorola,,,
01056400,LG,Electronics,,,
01056500,LG,LG,,,
01056800,Siemens,Siemens,,,
01057400,Alcatel,One,,,
01058000,Motorola,Motorola,,,
01058500,Sagem,myX1-2,,,
01058600,Sagem,Sagem,,,
01058700,RIM,RIM,,,
01058900,Pantech,Pantech,,,
01059200,Sony,Ericsson,,,
01059500,Ericsson,Ericsson,,,
01059900,Nokia,Nokia,,,
01060000,LG,LG,,,
01060100,Alcatel,Alcatel,,,
01060200,Alcatel,One,,,
01060300,Alcatel,Alcatel,,,
01060400,Alcatel,One,,,
01060500,LG,Electronics,,,
01060600,LG,Electronics,,,
01061000,Vitelcom,Mobile,,,
01061100,Alcatel,Alcatel,,,
01061400,Alcatel,Alcatel,,,
01061600,Nokia,2600b,,,
01061700,LG,Electronics,,,
01062400,Nokia,1100b,,,
01062500,Motorola,C115,,,
01062700,LG,Electronics,,,
01062800,LG,Electronics,,,
01063000,UTStarcom,UTStarcom,,,
01063300,LG,Electronics,,,
01063400,Motorola,Motorola,,,
01063600,LG,LG,,,
01063700,Sony,Ericsson,,,
01063900,Sony,Ericsson,,,
01064000,Nokia,1100b,,,
01064200,Nokia,1100b,,,
01064800,LG,LG,,,
01064900,LG,LG,,,
01065000,LG,LG,,,
01065200,Motorola,Motorola,,,
01065400,Enfora,Enfora,,,
01065700,Enfora,Enfora,,,
01065900,Motorola,Motorola,,,
01066000,Sharp,Sharp,,,
01066100,Sanyo,Sanyo,,,
01066400,Nokia,Nokia,,,
01066700,Sony,Ericsson,,,
01066900,Samsung,Samsung,,,
01067200,LG,LG,,,
01067400,Nokia,Nokia,,,
01067500,Haier,CCT,,,
01067600,Pantech,PG1410,,,
01067800,Motorola,C139,,,
01067900,Motorola,Motorola,,,
01068400,Motorola,Motorola,,,
01068500,LG,Electronics,,,
01068900,Nokia,6030b,,,
01069000,T-Mobile,T-Mobile,,,
01069100,Motorola,Motorola,,,
01069200,Alcatel,One,,,
01069300,Alcatel,One,,,
01069400,Alcatel,One,,,
01069700,T-Mobile,Sidekick,,,
01070000,Nokia,6010,,,
01070100,Nokia,6010,,,
01070200,Nokia,6010,,,
01070300,Nokia,Mobile,,,
01070400,Nokia,1108,,,
01070800,Nokia,2600b,,,
01071100,Motorola,M990,,,
01071200,Nokia,6030b,,,
01071300,Vitelcom,Mobile,,,
